DeepMind breaks 50-year math record using AI; new record falls a week later,https://arstechnica.com/information-technology/2022/10/deepmind-breaks-50-year-math-record-using-ai-new-record-falls-a-week-later/,"Matrix multiplication is at the heart of many machine learning breakthroughs, and it just got faster--twice. Last week, DeepMind announced it discovered a more efficient way to perform matrix multiplication, conquering a 50-year-old record. This week, two Austrian researchers at Johannes Kepler University Linz claim they have bested that new record by one step. Matrix multiplication, which involves multiplying two rectangular arrays of numbers, is often found at the heart of speech recognition, image recognition, smartphone image processing, compression, and generating computer graphics. Graphics processing units (GPUs) are particularly good at performing matrix multiplication due to their massively parallel nature.",2022-10-16T13:40:32Z
"Dear friend, our cosmic ancestor will be shipped immediately. - AI Generated Artwork",https://creator.nightcafe.studio/creation/h438wF2AOypLO9V4sTxA,AI Art Generator App. ✅ Fast ✅ Free ✅ Easy. Create amazing artworks using artificial intelligence.,2022-10-16T13:40:31Z
"Computer, memorize this table…",https://medium.com/@brnsantanna/computer-memorize-this-table-c090b70b6ea1,"From a broad perspective as a software engineer a big part of my work consists in aligning expectations between stakeholders and creating code that transforms and forwards data. During the last 15 years I have developed software and feel fascinated by this part of computer sciences. Curiosity and interest in other topics from the same field; data sciences and machine learning, made me decide to start a simple hands-on project in order to learn and practice in a typical experiment oriented approach. After two months I had created a software different from the others I had developed so far, it ""learned"" from data and after that it could make ""predictions"", and correct ones. The software result is an International Bank Account Number (or IBAN) validator.",2022-10-16T13:40:24Z
How Markov Random Fields work part2(Advanced Statistics),https://medium.com/@monocosmo77/how-markov-random-fields-work-part2-advanced-statistics-964d8f32afe5,"Abstract: UNet [27] is widely used in semantic segmentation due to its simplicity and effectiveness. However, its manually-designed architecture is applied to a large number of problem settings, either with no architecture optimizations, or with manual tuning, which is time consuming and can be sub-optimal. In this work, firstly, we propose Markov Random Field Neural Architecture Search (MRF-NAS) that extends and improves the recent Adaptive and Optimal Network Width Search (AOWS) method [4] with (i) a more general MRF framework (ii) diverse M-best loopy inference (iii) differentiable parameter learning. This provides the necessary NAS framework to efficiently explore network architectures that induce loopy inference graphs, including loops that arise from skip connections. With UNet as the backbone, we find an architecture, MRF-UNet, that shows several interesting characteristics.",2022-10-16T13:40:15Z
Is artificial intelligence destroying human civilisation?,https://aimachineroom.code.blog/2022/10/10/is-artificial-intelligence-destroying-human-civilisation/,"Artificial intelligence has been a topic of debate for decades. With the advent of deep learning and neural networks, AI is now able to perform tasks that were previously performed by humans. This has led to many experts believing that the rise of artificial intelligence will lead to the destruction of human civilization as we know it today. The intelligent and intellectuals, find it increasingly difficult to differentiate real intelligence from the mediocre and AI generated output. This is a challenge that we all face as our lives become more intertwined with artificial intelligence. How do you know who your friends are?",2022-10-16T13:40:15Z
How Markov Random Fields work part3(Advanced Statistics),https://medium.com/@monocosmo77/how-markov-random-fields-work-part3-advanced-statistics-7dbb845fd1,"Abstract: he link between Gaussian random fields and Markov random fields is well established based on a stochastic partial differential equation in Euclidean spaces, where the Matérn covariance functions are essential. However, the Matérn covariance functions are not always positive definite on circles and spheres. In this manuscript, we focus on the extension of this link to circles, and show that the link between Gaussian random fields and Markov random fields on circles is valid based on the circular Matérn covariance function instead. First, we show that this circular Matérn function is the covariance of the stationary solution to the stochastic differential equation on the circle with a formally defined white noise space measure. Then, for the corresponding conditional autoregressive model, we derive a closed form formula for its covariance function.",2022-10-16T13:40:14Z
9 Ways in Which Artificial Intelligence (AI) Can Change the Landscape of the Sports Industry,https://www.marktechpost.com/2022/10/15/9-ways-in-which-artificial-intelligence-ai-can-change-the-landscape-of-the-sports-industry/,"In every field--health, education, marketing, production, and sports--AI has managed to outperform itself. The sports industry is being rapidly transformed by artificial intelligence, much like every other significant sector. AI has touched every sports aspect at the quantitative, statistical, and analytical levels. The sports market has grown significantly. Game nights have become very popular thanks to the crazed devotees who have brought in a lot of money.",2022-10-16T13:40:06Z
L.A.'s fragile Black-Latino alliance: Can it survive racist recordings in a changing city?,https://www.latimes.com/california/story/2022-10-16/in-la-politics-latino-and-black-alliances-are-strong-and-complicated,"Jorge Nuño learned the hard way how race, power and politics work in Los Angeles. Nuño, 45, the son of immigrants from Jalisco, Mexico, grew up in South Los Angeles near Vernon Avenue and Main Street, then built a successful graphic design business and a printing business, launched a multiracial youth services nonprofit, and threw himself into grass-roots organizing among both Black and Latino groups in his neighborhood. With this background, he decided to run for City Council representing the 9th District -- its constituents majority Latino -- expecting his campaign would garner at least some interest from the city's traditional Latino establishment. Instead, word filtered down: No way. ""What I heard was that no Latino [power brokers] are going to come support any candidate coming out of South L.A.,"" he said, ""because there is a coordination between Black and brown caucuses about keeping it Black"" through the tenure of the current councilman. With Los Angeles still reeling from a leak revealing prominent elected officials making bigoted and racist remarks, much about the recording remains a mystery: Who made it? Nuño lost that election to the incumbent, Curren Price, a Black former state lawmaker who also grew up in South L.A. He said he simply did not understand the complicated alliances brokered by Black and Latino politicians and their allies in labor. ""Naive to the game,"" he said of himself back then.",2022-10-16T12:00:33Z
Microsoft adds conversational AI to Dynamics 365,https://www.techtarget.com/searchcustomerexperience/news/252526008/Microsoft-adds-conversational-AI-to-Dynamics-365,"Microsoft Dynamics 365 Customer Service and Dynamics 365 Sales users will get new features later this month with an emphasis on conversational intelligence and Teams integrations. Dynamics 365 Customer Service will be more tightly embedded in Microsoft Teams. Contact center agents will be able to collaborate with co-workers by sharing AI-generated conversation summaries to resolve customer issues faster, and Teams chat will be embedded within Dynamics 365, which enables customer records of sales and service cases to be shared in Teams outside of their department or with supervisors and peers. Microsoft also previewed Azure Communication Services, a bundle of software workflow APIs that route public switched telephone network or VoIP calls within apps. All of the above features will also be compatible with Microsoft Digital Contact Center, a contact-center-as-a-service platform released earlier this year.",2022-10-16T11:55:32Z
Japan to deploy attack drones as early as 2025,https://www.japantimes.co.jp/news/2022/10/16/national/japan-attack-drones/,"The Defense Ministry plans to deploy small attack drones in a bid to strengthen the defense of the nation's remote islands. The ministry will make preparations for the deployment, introducing U.S.-made and other drones in fiscal 2023 on a trial basis. It aims to deploy several hundred attack drones from fiscal 2025 at the earliest. This could be due to a conflict with your ad-blocking or security software. Please add japantimes.co.jp and piano.io to your list of allowed sites. If this does not resolve the issue or you are unable to add the domains to your allowlist, please see this support page.",2022-10-16T10:39:16Z
"Dear friend, our cosmic ancestor will be shipped immediately. - AI Generated Artwork",https://creator.nightcafe.studio/creation/h438wF2AOypLO9V4sTxA,AI Art Generator App. ✅ Fast ✅ Free ✅ Easy. Create amazing artworks using artificial intelligence.,2022-10-16T13:40:31Z
"Computer, memorize this table…",https://medium.com/@brnsantanna/computer-memorize-this-table-c090b70b6ea1,"From a broad perspective as a software engineer a big part of my work consists in aligning expectations between stakeholders and creating code that transforms and forwards data. During the last 15 years I have developed software and feel fascinated by this part of computer sciences. Curiosity and interest in other topics from the same field; data sciences and machine learning, made me decide to start a simple hands-on project in order to learn and practice in a typical experiment oriented approach. After two months I had created a software different from the others I had developed so far, it ""learned"" from data and after that it could make ""predictions"", and correct ones. The software result is an International Bank Account Number (or IBAN) validator.",2022-10-16T13:40:24Z
How Markov Random Fields work part2(Advanced Statistics),https://medium.com/@monocosmo77/how-markov-random-fields-work-part2-advanced-statistics-964d8f32afe5,"Abstract: UNet [27] is widely used in semantic segmentation due to its simplicity and effectiveness. However, its manually-designed architecture is applied to a large number of problem settings, either with no architecture optimizations, or with manual tuning, which is time consuming and can be sub-optimal. In this work, firstly, we propose Markov Random Field Neural Architecture Search (MRF-NAS) that extends and improves the recent Adaptive and Optimal Network Width Search (AOWS) method [4] with (i) a more general MRF framework (ii) diverse M-best loopy inference (iii) differentiable parameter learning. This provides the necessary NAS framework to efficiently explore network architectures that induce loopy inference graphs, including loops that arise from skip connections. With UNet as the backbone, we find an architecture, MRF-UNet, that shows several interesting characteristics.",2022-10-16T13:40:15Z
Is artificial intelligence destroying human civilisation?,https://aimachineroom.code.blog/2022/10/10/is-artificial-intelligence-destroying-human-civilisation/,"Artificial intelligence has been a topic of debate for decades. With the advent of deep learning and neural networks, AI is now able to perform tasks that were previously performed by humans. This has led to many experts believing that the rise of artificial intelligence will lead to the destruction of human civilization as we know it today. The intelligent and intellectuals, find it increasingly difficult to differentiate real intelligence from the mediocre and AI generated output. This is a challenge that we all face as our lives become more intertwined with artificial intelligence. How do you know who your friends are?",2022-10-16T13:40:15Z
How Markov Random Fields work part3(Advanced Statistics),https://medium.com/@monocosmo77/how-markov-random-fields-work-part3-advanced-statistics-7dbb845fd1,"Abstract: he link between Gaussian random fields and Markov random fields is well established based on a stochastic partial differential equation in Euclidean spaces, where the Matérn covariance functions are essential. However, the Matérn covariance functions are not always positive definite on circles and spheres. In this manuscript, we focus on the extension of this link to circles, and show that the link between Gaussian random fields and Markov random fields on circles is valid based on the circular Matérn covariance function instead. First, we show that this circular Matérn function is the covariance of the stationary solution to the stochastic differential equation on the circle with a formally defined white noise space measure. Then, for the corresponding conditional autoregressive model, we derive a closed form formula for its covariance function.",2022-10-16T13:40:14Z
9 Ways in Which Artificial Intelligence (AI) Can Change the Landscape of the Sports Industry,https://www.marktechpost.com/2022/10/15/9-ways-in-which-artificial-intelligence-ai-can-change-the-landscape-of-the-sports-industry/,"In every field--health, education, marketing, production, and sports--AI has managed to outperform itself. The sports industry is being rapidly transformed by artificial intelligence, much like every other significant sector. AI has touched every sports aspect at the quantitative, statistical, and analytical levels. The sports market has grown significantly. Game nights have become very popular thanks to the crazed devotees who have brought in a lot of money.",2022-10-16T13:40:06Z
L.A.'s fragile Black-Latino alliance: Can it survive racist recordings in a changing city?,https://www.latimes.com/california/story/2022-10-16/in-la-politics-latino-and-black-alliances-are-strong-and-complicated,"Jorge Nuño learned the hard way how race, power and politics work in Los Angeles. Nuño, 45, the son of immigrants from Jalisco, Mexico, grew up in South Los Angeles near Vernon Avenue and Main Street, then built a successful graphic design business and a printing business, launched a multiracial youth services nonprofit, and threw himself into grass-roots organizing among both Black and Latino groups in his neighborhood. With this background, he decided to run for City Council representing the 9th District -- its constituents majority Latino -- expecting his campaign would garner at least some interest from the city's traditional Latino establishment. Instead, word filtered down: No way. ""What I heard was that no Latino [power brokers] are going to come support any candidate coming out of South L.A.,"" he said, ""because there is a coordination between Black and brown caucuses about keeping it Black"" through the tenure of the current councilman. With Los Angeles still reeling from a leak revealing prominent elected officials making bigoted and racist remarks, much about the recording remains a mystery: Who made it? Nuño lost that election to the incumbent, Curren Price, a Black former state lawmaker who also grew up in South L.A. He said he simply did not understand the complicated alliances brokered by Black and Latino politicians and their allies in labor. ""Naive to the game,"" he said of himself back then.",2022-10-16T12:00:33Z
Microsoft adds conversational AI to Dynamics 365,https://www.techtarget.com/searchcustomerexperience/news/252526008/Microsoft-adds-conversational-AI-to-Dynamics-365,"Microsoft Dynamics 365 Customer Service and Dynamics 365 Sales users will get new features later this month with an emphasis on conversational intelligence and Teams integrations. Dynamics 365 Customer Service will be more tightly embedded in Microsoft Teams. Contact center agents will be able to collaborate with co-workers by sharing AI-generated conversation summaries to resolve customer issues faster, and Teams chat will be embedded within Dynamics 365, which enables customer records of sales and service cases to be shared in Teams outside of their department or with supervisors and peers. Microsoft also previewed Azure Communication Services, a bundle of software workflow APIs that route public switched telephone network or VoIP calls within apps. All of the above features will also be compatible with Microsoft Digital Contact Center, a contact-center-as-a-service platform released earlier this year.",2022-10-16T11:55:32Z
Japan to deploy attack drones as early as 2025,https://www.japantimes.co.jp/news/2022/10/16/national/japan-attack-drones/,"The Defense Ministry plans to deploy small attack drones in a bid to strengthen the defense of the nation's remote islands. The ministry will make preparations for the deployment, introducing U.S.-made and other drones in fiscal 2023 on a trial basis. It aims to deploy several hundred attack drones from fiscal 2025 at the earliest. This could be due to a conflict with your ad-blocking or security software. Please add japantimes.co.jp and piano.io to your list of allowed sites. If this does not resolve the issue or you are unable to add the domains to your allowlist, please see this support page.",2022-10-16T10:39:16Z
The Brutal History of AI Defeating Every Human,https://historyofyesterday.com/the-brutal-history-of-ai-defeating-every-human/,"Either it is a master or a servant. And there are two kinds of relationships that humanity employs with technology. Either it fears, is destroyed, and is overwhelmed by technological progress, or it dictates this progress, drives it forward, and uses it. And then there are two major social constructs that keep the members of society in compliance with the prevailing ideology of life. These are religion and the state.",2022-10-16T10:15:44Z
